ccode,iso3c,countryname,year,month,quarter,source,troops_ad,army_ad,navy_ad,air_force_ad,marine_corps_ad,coast_guard_ad,space_force_ad,army_national_guard,air_national_guard,army_reserve,navy_reserve,marine_corps_reserve,air_force_reserve,coast_guard_reserve,total_selected_reserve,army_civilian,navy_civilian,marine_corps_civilian,air_force_civilian,dod_civilian,total_civilian,year_quarter,troops_all,region
2,USA,United States,1975,September,3,September 1975,1426388,470904,372428,442560,140254,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1975.3,1426388,North America
2,USA,United States,1976,September,3,September 1976,1320387,493157,252802,440985,133443,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1976.3,1320387,North America
2,USA,United States,1977,September,3,September 1977,1300988,484513,249803,430730,135942,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1977.3,1300988,North America
2,USA,United States,1978,September,3,September 1978,1272952,465697,243519,425882,137854,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1978.3,1272952,North America
2,USA,United States,1979,September,3,September 1979,1250561,454180,251683,411177,133521,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1979.3,1250561,North America
2,USA,United States,1980,September,3,September 1980,1266125,470871,256997,403234,135023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1980.3,1266125,North America
2,USA,United States,1981,September,3,September 1981,1291952,469982,266502,415788,139680,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1981.3,1291952,North America
2,USA,United States,1982,September,3,September 1982,1283455,462495,259611,424064,137285,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1982.3,1283455,North America
2,USA,United States,1983,September,3,September 1983,1301283,467568,257244,429843,146628,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1983.3,1301283,North America
2,USA,United States,1984,September,3,September 1984,1318968,468328,270163,431370,149107,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1984.3,1318968,North America
2,USA,United States,1985,September,3,September 1985,1331950,477704,275872,427616,150758,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1985.3,1331950,North America
2,USA,United States,1986,September,3,September 1986,1334932,474824,275721,435123,149264,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1986.3,1334932,North America
2,USA,United States,1987,September,3,September 1987,1340077,475629,276313,438635,149500,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1987.3,1340077,North America
2,USA,United States,1988,September,3,September 1988,1304547,464595,280838,414780,144334,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1988.3,1304547,North America
2,USA,United States,1989,September,3,September 1989,1301894,461803,281483,413416,145192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1989.3,1301894,North America
2,USA,United States,1990,September,3,September 1990,1138627,366819,274100,386668,111040,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1990.3,1138627,North America
2,USA,United States,1991,September,3,September 1991,1216348,424661,267500,380352,143835,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1991.3,1216348,North America
2,USA,United States,1992,September,3,September 1992,1171208,409278,265772,359370,136788,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1992.3,1171208,North America
2,USA,United States,1993,September,3,September 1993,1127242,396747,256841,339550,134104,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1993.3,1127242,North America
2,USA,United States,1994,September,3,September 1994,1073309,370916,241830,330556,130007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1994.3,1073309,North America
2,USA,United States,1995,September,3,September 1995,1041320,369203,221825,314331,135961,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1995.3,1041320,North America
2,USA,United States,1996,September,3,September 1996,1006401,351043,216846,304652,133860,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1996.3,1006401,North America
2,USA,United States,1997,September,3,September 1997,994787,356788,206915,295593,135491,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1997.3,994787,North America
2,USA,United States,1998,September,3,September 1998,960817,344724,202085,282968,131040,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1998.3,960817,North America
2,USA,United States,1999,September,3,September 1999,947548,350558,189989,274552,132449,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1999.3,947548,North America
2,USA,United States,2000,September,3,September 2000,938753,345343,187575,270319,135516,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2000.3,938753,North America
2,USA,United States,2001,September,3,September 2001,951878,346021,196799,273129,135929,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2001.3,951878,North America
2,USA,United States,2002,September,3,September 2002,969215,354831,190074,291146,133164,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2002.3,969215,North America
2,USA,United States,2003,September,3,September 2003,974571,367264,190584,283971,132752,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2003.3,974571,North America
2,USA,United States,2004,September,3,September 2004,924310,367163,175481,278153,103513,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2004.3,924310,North America
2,USA,United States,2005,September,3,September 2005,894430,379500,162255,256473,96202,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2005.3,894430,North America
2,USA,United States,2006,September,3,September 2006,897011,390153,135652,266879,104327,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2006.3,897011,North America
2,USA,United States,2007,September,3,September 2007,882201,411546,117368,254531,98756,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2007.3,882201,North America
2,USA,United States,2008,September,3,September 2008,1055160,359470,260824,246293,148326,NA,NA,NA,NA,NA,NA,NA,NA,NA,768950,240921,158463,16441,148567,83494,647886,2008.3,1824110,North America
2,USA,United States,2009,September,3,September 2009,1093931,374478,263860,250473,163805,NA,NA,NA,NA,NA,NA,NA,NA,NA,762563,259780,164910,18303,155476,88270,686739,2009.3,1856494,North America
2,USA,United States,2010,September,3,September 2010,1118181,400443,267684,251512,158330,NA,NA,NA,NA,NA,NA,NA,NA,NA,786032,270671,171730,19542,165352,93013,720308,2010.3,1904213,North America
2,USA,United States,2011,September,3,September 2011,1115699,402632,262399,250168,159635,NA,NA,NA,NA,NA,NA,NA,NA,NA,782213,264184,174254,18599,171324,97066,725427,2011.3,1897912,North America
2,USA,United States,2012,September,3,September 2012,1156221,435823,257884,257559,164278,NA,NA,NA,NA,NA,NA,NA,NA,NA,789967,259468,174607,18478,165770,97188,715511,2012.3,1946188,North America
2,USA,United States,2013,December,4,December 2013,1160204,429637,271165,259691,161087,NA,NA,NA,NA,NA,NA,NA,NA,NA,792181,242012,167793,18992,162161,95947,686905,2013.4,1952385,North America
2,USA,United States,2013,September,3,September 2013,1159060,429998,272173,259820,157792,NA,NA,NA,NA,NA,NA,NA,NA,NA,794039,244703,168957,19051,162692,95493,690896,2013.3,1953099,North America
2,USA,United States,2014,December,4,December 2014,1129598,420869,272286,245221,153148,NA,NA,NA,NA,NA,NA,NA,NA,NA,791134,239037,170038,18043,160454,95656,683228,2014.4,1920732,North America
2,USA,United States,2014,June,2,June 2014,1147824,421150,273502,259845,154669,NA,NA,NA,NA,NA,NA,NA,NA,NA,791210,239404,167786,18461,160809,95377,681837,2014.2,1939034,North America
2,USA,United States,2014,March,1,March 2014,1150663,425534,270522,259247,156799,NA,NA,NA,NA,NA,NA,NA,NA,NA,792826,239292,166644,18643,160359,95299,680237,2014.1,1943489,North America
2,USA,United States,2014,September,3,September 2014,1132715,422158,271449,249096,151666,NA,NA,NA,NA,NA,NA,NA,NA,NA,790766,239272,168968,18273,159477,95315,681305,2014.3,1923481,North America
2,USA,United States,2015,December,4,December 2015,1032035,407785,183709,244166,158761,NA,NA,NA,NA,NA,NA,NA,NA,NA,784432,236497,180152,17543,163043,97350,694585,2015.4,1816467,North America
2,USA,United States,2015,June,2,June 2015,1122661,413878,275618,244454,150424,NA,NA,NA,NA,NA,NA,NA,NA,NA,790933,238957,175687,17775,162898,95750,691067,2015.2,1913594,North America
2,USA,United States,2015,March,1,March 2015,1124361,417367,272949,242809,152944,NA,NA,NA,NA,NA,NA,NA,NA,NA,790758,237601,171368,17870,160875,95532,683246,2015.1,1915119,North America
2,USA,United States,2015,September,3,September 2015,1121544,411397,278123,243712,150425,NA,NA,NA,NA,NA,NA,NA,NA,NA,780233,236879,178642,17683,161872,95954,691030,2015.3,1901777,North America
2,USA,United States,2016,December,4,December 2016,1005642,387830,182160,249577,147604,NA,NA,NA,NA,NA,NA,NA,NA,NA,776546,235493,184067,17376,165282,98735,700953,2016.4,1782188,North America
2,USA,United States,2016,June,2,June 2016,1021498,396350,188184,249414,149405,NA,NA,NA,NA,NA,NA,NA,NA,NA,781384,237022,182778,17440,165506,98330,701076,2016.2,1802882,North America
2,USA,United States,2016,March,1,March 2016,1016941,399630,185571,246602,147305,NA,NA,NA,NA,NA,NA,NA,NA,NA,783293,235617,180358,17418,163084,97687,694164,2016.1,1800234,North America
2,USA,United States,2016,September,3,September 2016,1020113,397375,183050,252309,148948,NA,NA,NA,NA,NA,NA,NA,NA,NA,778195,235410,183728,17440,163931,98179,698688,2016.3,1798308,North America
2,USA,United States,2017,December,4,December 2017,1067897,411839,198679,265081,152716,NA,NA,NA,NA,NA,NA,NA,NA,NA,783100,234928,184362,16814,164913,98056,699073,2017.4,1850997,North America
2,USA,United States,2017,June,2,June 2017,1028555,390938,195143,254507,148626,NA,NA,NA,NA,NA,NA,NA,NA,NA,771462,234321,183609,17089,165054,97442,697515,2017.2,1800017,North America
2,USA,United States,2017,March,1,March 2017,1014538,387945,184864,253009,149738,NA,NA,NA,NA,NA,NA,NA,NA,NA,775705,233306,182568,17205,165145,97823,696047,2017.1,1790243,North America
2,USA,United States,2017,September,3,September 2017,1025884,394853,194632,251029,145966,NA,NA,NA,NA,NA,NA,NA,NA,NA,772678,233134,183710,16921,162649,97276,693690,2017.3,1798562,North America
2,USA,United States,2018,December,4,December 2018,1160143,407357,289853,268202,154893,NA,NA,NA,NA,NA,NA,NA,NA,NA,776710,237301,191265,17397,166648,98520,711131,2018.4,1936853,North America
2,USA,United States,2018,June,2,June 2018,1157114,409768,286980,267407,152843,NA,NA,NA,NA,NA,NA,NA,NA,NA,777033,237081,187279,17001,165555,98370,705286,2018.2,1934147,North America
2,USA,United States,2018,March,1,March 2018,1150323,410158,281995,265948,152277,NA,NA,NA,NA,NA,NA,NA,NA,NA,779378,234494,184162,16739,164181,97966,697542,2018.1,1929701,North America
2,USA,United States,2018,September,3,September 2018,1166639,416916,288356,268363,153085,NA,NA,NA,NA,NA,NA,NA,NA,NA,778908,236129,190699,17141,164883,98434,707286,2018.3,1945547,North America
2,USA,United States,2019,December,4,December 2019,1182585,415967,296084,273677,157515,NA,NA,NA,NA,NA,NA,NA,NA,NA,781267,238400,197173,17882,167568,101677,722700,2019.4,1963852,North America
2,USA,United States,2019,June,2,June 2019,1171732,413792,293051,272760,152204,NA,NA,NA,NA,NA,NA,NA,NA,NA,778285,239368,194870,17749,166945,99102,718034,2019.2,1950017,North America
2,USA,United States,2019,March,1,March 2019,1166148,410693,290254,270329,154911,NA,NA,NA,NA,NA,NA,NA,NA,NA,778005,237165,191859,17535,165699,98718,710976,2019.1,1944153,North America
2,USA,United States,2019,September,3,September 2019,1186671,424618,295131,273891,153433,NA,NA,NA,NA,NA,NA,NA,NA,NA,785119,239366,196534,17921,166322,102132,722275,2019.3,1971790,North America
2,USA,United States,2020,December,4,December 2020,1195555,424088,305341,275666,151524,NA,NA,NA,NA,NA,NA,NA,NA,NA,778693,242592,200910,18361,170713,100664,733240,2020.4,1974248,North America
2,USA,United States,2020,June,2,June 2020,1183834,417972,299543,274952,152003,NA,NA,NA,NA,NA,NA,NA,NA,NA,779765,239768,199200,18026,168214,102300,727508,2020.2,1963599,North America
2,USA,United States,2020,March,1,March 2020,1183034,420033,297630,274432,151547,NA,NA,NA,NA,NA,NA,NA,NA,NA,781866,238798,197333,17945,168095,102163,724334,2020.1,1964900,North America
2,USA,United States,2020,September,3,September 2020,1199208,426242,305955,275505,152260,NA,NA,NA,NA,NA,NA,NA,NA,NA,781987,240492,201024,18333,169096,102152,731097,2020.3,1981195,North America
2,USA,United States,2021,December,4,December 2021,1183697,418133,301694,273938,151300,NA,NA,NA,NA,NA,NA,NA,NA,NA,768957,235651,197743,17826,167589,101302,720111,2021.4,1952654,North America
2,USA,United States,2021,June,2,June 2021,1201021,425751,309338,276638,150066,NA,NA,NA,NA,NA,NA,NA,NA,NA,775772,242450,200509,18235,171124,100169,732487,2021.2,1976793,North America
2,USA,United States,2021,March,1,March 2021,1199436,425470,308035,277536,149275,NA,NA,NA,NA,NA,NA,NA,NA,NA,778285,242076,200358,18304,171310,100650,732698,2021.1,1977721,North America
2,USA,United States,2021,September,3,September 2021,1195115,426653,306273,275299,147861,NA,NA,NA,NA,NA,NA,NA,NA,NA,777217,238178,200707,18161,169529,103125,729700,2021.3,1972332,North America
2,USA,United States,2022,December,4,December 2022,1151458,NA,296433,270610,143005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,213587,190573,17368,170358,139514,731400,2022.4,NA,North America
2,USA,United States,2022,June,2,June 2022,1162657,402687,302828,273714,144812,NA,NA,NA,NA,NA,NA,NA,NA,NA,754345,234022,195725,17451,165541,101975,714714,2022.2,1917002,North America
2,USA,United States,2022,March,1,March 2022,1173279,409707,304119,273984,146640,NA,NA,NA,NA,NA,NA,NA,NA,NA,762341,233857,196452,17603,166286,101261,715459,2022.1,1935620,North America
2,USA,United States,2022,September,3,September 2022,1164238,404114,303290,273248,145479,NA,NA,NA,NA,NA,NA,NA,NA,NA,749497,207361,189109,17297,158311,138518,710596,2022.3,1913735,North America
2,USA,United States,2023,December,4,December 2023,1125787,392802,289469,258540,139025,NA,0,NA,NA,NA,NA,NA,NA,NA,739099,217921,194211,17124,173302,142727,745285,2023.4,1864886,North America
2,USA,United States,2023,June,2,June 2023,1146898,NA,293334,269346,142462,NA,0,NA,NA,NA,NA,NA,NA,NA,0,216536,192050,17206,172236,141018,739046,2023.2,NA,North America
2,USA,United States,2023,March,1,March 2023,1142632,NA,292363,269876,138787,NA,0,NA,NA,NA,NA,NA,NA,NA,0,214439,189879,17208,170132,139967,731625,2023.1,NA,North America
2,USA,United States,2023,September,3,September 2023,1143324,402558,292696,259742,142787,NA,0,NA,NA,NA,NA,NA,NA,NA,741292,217322,194654,17166,172688,142413,744243,2023.3,1885872,North America
2,USA,United States,2024,December,4,December 2024,1128996,393415,289534,257388,141110,NA,0,NA,NA,NA,NA,NA,NA,NA,730762,218528,199559,17604,176922,80363,692976,2024.4,1859758,North America
2,USA,United States,2024,June,2,June 2024,1128370,392898,286295,257493,144459,NA,0,NA,NA,NA,NA,NA,NA,NA,737359,217949,197170,17357,176088,145415,753979,2024.2,1865729,North America
2,USA,United States,2024,March,1,March 2024,1119440,391495,287190,257026,137123,NA,0,NA,NA,NA,NA,NA,NA,NA,737169,217387,195362,17188,173809,143421,747167,2024.1,1856609,North America
2,USA,United States,2024,September,3,September 2024,1140817,393982,291830,257211,150388,NA,0,NA,NA,NA,NA,NA,NA,NA,720174,218186,199482,17456,176197,80395,691716,2024.3,1860991,North America
2,USA,United States,2025,December,4,December 2025,1147551,392979,301339,260645,142701,NA,0,NA,NA,NA,NA,NA,NA,NA,743280,193294,182313,15898,157283,132495,681283,2025.4,1890831,North America
2,USA,United States,2025,June,2,June 2025,1147525,396279,294359,261812,145978,NA,0,NA,NA,NA,NA,NA,NA,NA,739000,212369,197059,17352,171635,142497,740912,2025.2,1886525,North America
2,USA,United States,2025,March,1,March 2025,1130154,384950,292215,258848,145811,NA,0,NA,NA,NA,NA,NA,NA,NA,735604,216299,198776,17520,174578,144911,752084,2025.1,1865758,North America
2,USA,United States,2025,September,3,September 2025,1156197,397487,298983,260411,149739,NA,0,NA,NA,NA,NA,NA,NA,NA,739907,201087,185620,16272,162556,135599,701134,2025.3,1896104,North America
20,CAN,Canada,1950,June,2,June 1950,9158,127,1197,3203,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1950.2,9158,North America
20,CAN,Canada,1951,June,2,Stepwise Imputation,16481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1951.2,16481,North America
20,CAN,Canada,1952,June,2,Stepwise Imputation,23804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1952.2,23804,North America
20,CAN,Canada,1953,June,2,June 1953,31128,2952,4331,10486,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1953.2,31128,North America
20,CAN,Canada,1954,June,2,June 1954,32540,1336,2618,12244,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1954.2,32540,North America
20,CAN,Canada,1955,June,2,June 1955,35404,1126,4161,12315,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1955.2,35404,North America
20,CAN,Canada,1956,June,2,June 1956,35868,1729,4160,11936,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1956.2,35868,North America
20,CAN,Canada,1957,June,2,Kane 2006,18297,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1957.2,18297,North America
20,CAN,Canada,1957,September,3,September 1957,18297,1511,4078,12609,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1957.3,18297,North America
20,CAN,Canada,1958,June,2,Kane 2006,16832,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1958.2,16832,North America
20,CAN,Canada,1958,September,3,September 1958,16832,716,4161,11865,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1958.3,16832,North America
20,CAN,Canada,1959,June,2,Kane 2006,15307,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1959.2,15307,North America
20,CAN,Canada,1959,September,3,September 1959,15709,633,3462,11507,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1959.3,15709,North America
20,CAN,Canada,1960,June,2,Kane 2006,14312,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1960.2,14312,North America
20,CAN,Canada,1960,September,3,September 1960,14742,501,4074,9958,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1960.3,14742,North America
20,CAN,Canada,1961,June,2,Kane 2006,14034,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1961.2,14034,North America
20,CAN,Canada,1961,September,3,September 1961,14480,347,3622,10397,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1961.3,14480,North America
20,CAN,Canada,1962,June,2,Kane 2006,12534,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1962.2,12534,North America
20,CAN,Canada,1962,September,3,September 1962,13339,155,3716,9356,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1962.3,13339,North America
20,CAN,Canada,1963,June,2,Kane 2006,11484,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1963.2,11484,North America
20,CAN,Canada,1963,September,3,September 1963,11971,71,4358,7429,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1963.3,11971,North America
20,CAN,Canada,1964,June,2,Kane 2006,10893,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1964.2,10893,North America
20,CAN,Canada,1964,September,3,September 1964,11277,59,3842,7267,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1964.3,11277,North America
20,CAN,Canada,1965,June,2,Kane 2006,8480,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1965.2,8480,North America
20,CAN,Canada,1965,September,3,September 1965,8480,54,1623,6681,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1965.3,8480,North America
20,CAN,Canada,1966,June,2,Kane 2006,5703,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1966.2,5703,North America
20,CAN,Canada,1966,September,3,September 1966,5862,43,1441,4269,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1966.3,5862,North America
20,CAN,Canada,1967,June,2,Kane 2006,4750,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1967.2,4750,North America
20,CAN,Canada,1967,September,3,September 1967,4966,25,1422,3402,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1967.3,4966,North America
20,CAN,Canada,1968,June,2,Kane 2006,4118,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1968.2,4118,North America
20,CAN,Canada,1968,September,3,September 1968,4118,24,1130,2856,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1968.3,4118,North America
20,CAN,Canada,1969,June,2,Kane 2006,3681,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1969.2,3681,North America
20,CAN,Canada,1969,September,3,September 1969,3681,19,1103,2454,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1969.3,3681,North America
20,CAN,Canada,1970,June,2,Kane 2006,2643,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1970.2,2643,North America
20,CAN,Canada,1970,September,3,September 1970,2643,12,413,2218,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1970.3,2643,North America
20,CAN,Canada,1971,June,2,Kane 2006,1835,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1971.2,1835,North America
